symbol	entrezgene	ensembl_gene_id	mechanism_of_inheritance	syndrome_cui	condition_cui	source	phenotypes	mechanism_of_disease	oncogene	tumor_suppressor	n_trunc_path	n_nontrunc_path	n_nontrunc_benign	benign_missense_rate	path_truncation_rate	confidence_level	id	panel_url	panel_version	panel_name	genename
MSR1	4481	ENSG00000038945	AD	NA	NA	PANEL_APP		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	macrophage scavenger receptor 1
MTAP	4507	ENSG00000099810	AD	C1862177	NA	PANEL_APP&TCGA_PANCAN_2018	Malignant Fibrous Histiocytoma (Sarcoma); Diaphyseal medullary stenosis with malignant fibrous histiocytoma (DMS-MFH); Sarcoma;Sarcoma pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	LoF	FALSE	TRUE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	methylthioadenosine phosphorylase
MUC1	4582	ENSG00000185499	AD	NA	NA	OTHER		NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"mucin 1, cell surface associated"
MUC5B	727897	ENSG00000117983	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"mucin 5B, oligomeric mucus/gel-forming"
MUTYH	4595	ENSG00000132781	AR	C1837991	C1837991	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Colorectal, Familial breast and or ovarian cancer, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), Familial ovarian cancer;R207, R211;R209; colorectal; Colorectal Cancer; NA"	LoF	FALSE	FALSE	61	18	8	0.31	0.77	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	mutY DNA glycosylase
MYCN	4613	ENSG00000134323	NA	NA	NA	OTHER		NA	TRUE	FALSE	2	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"MYCN proto-oncogene, bHLH transcription factor"
NAF1	92345	ENSG00000145414	AD	NA	NA	PANEL_APP	"Haemonc;Haematological malignancies pertinent cancer susceptibility,"	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nuclear assembly factor 1 ribonucleoprotein
NBN	4683	ENSG00000104320	AR	C0398791	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Familial breast and or ovarian cancer, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Haemonc;Haematological malignancies pertinent cancer susceptibility; Familial ovarian cancer;R207, Sarcoma;Sarcoma pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Lymphoma , Medulloblastoma, Glioma, Rhabdomyosarcoma; Nijmegen breakage syndrome ; NHL, glioma, medulloblastoma, rhabdomyosarcoma"	LoF	FALSE	TRUE	90	0	9	NA	1	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nibrin
NCOA4	8031	ENSG00000266412	NA	NA	NA	OTHER		NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nuclear receptor coactivator 4
NDRG1	10397	ENSG00000104419	NA	NA	NA	OTHER		NA	FALSE	TRUE	2	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	N-myc downstream regulated 1
NDUFA13	51079	ENSG00000186010	AD	NA	NA	PANEL_APP		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	NADH:ubiquinone oxidoreductase subunit A13
NF1	4763	ENSG00000196712	AD/AR	C0027831	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Haemonc;Haematological malignancies pertinent cancer susceptibility; R363, Neuro-endocrine Tumours- PCC and PGL, R230, Sarcoma;Sarcoma pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Glioma, Malignant Peripheral Nerve Sheath Tumor; Neurofibromatosis type 1; neurofibroma, glioma"	LoF	FALSE	TRUE	351	81	8	0.09	0.81	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	neurofibromin 1
NF2	4771	ENSG00000186575	AD/AR	C0027832	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; meningioma, acoustic neuroma; Vestibular Schwannoma, Meningioma, Ependymoma; Neurofibromatosis type 2"	LoF	FALSE	TRUE	8	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	neurofibromin 2
NFIX	4784	ENSG00000008441	NA	NA	NA	PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	NA	FALSE	FALSE	0	1	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nuclear factor I X
NHP2	55651	ENSG00000145912	AR	C3151441	NA	PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Dyskeratosis congenita, autosomal recessive 2"	NA	FALSE	FALSE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	NHP2 ribonucleoprotein
NKX2-1	7080	ENSG00000136352	AD	NA	NA	PANEL_APP		NA	TRUE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	NK2 homeobox 1
NOP10	55505	ENSG00000182117	AR	C1857144	NA	PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Dyskeratosis congenita, autosomal recessive 1"	NA	FALSE	FALSE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	NOP10 ribonucleoprotein
NOTCH1	4851	ENSG00000148400	NA	NA	NA	OTHER		NA	TRUE	TRUE	2	1	31	0.97	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	notch receptor 1
NOTCH3	4854	ENSG00000074181	AD	NA	NA	NCGC&PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	NA	TRUE	FALSE	2	28	25	0.47	0.07	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	notch receptor 3
NR4A3	8013	ENSG00000119508	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nuclear receptor subfamily 4 group A member 3
NRAS	4893	ENSG00000213281	AD	C2750732&C0334082&C1842036&C0265318&C2674723&CN166718	NA	PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Childhood;Childhood solid tumours pertinent cancer susceptibility, R230, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; RASopathy (RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic; Epidermal nevus, somatic; Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic; Noonan syndrome 6; Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic)"	NA	TRUE	FALSE	0	5	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"NRAS proto-oncogene, GTPase"
NSD1	64324	ENSG00000165671	AD	NA	NA	NCGC&PANEL_APP	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	LoF	FALSE	FALSE	45	15	23	0.61	0.75	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nuclear receptor binding SET domain protein 1
NTHL1	4913	ENSG00000065057	AR	NA	C4225157	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Colorectal, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R211;R209; Colon Adenocarcinoma, Bladder Carcinoma, Meningioma, Basal Cell Carcinoma, Colorectal Adenomas, Head And Neck Squamous Cell Carcinoma-Based On One Woman Case Report; NA; CRC"	NA	FALSE	FALSE	8	0	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	nth like DNA glycosylase 1
NTRK1	4914	ENSG00000198400	AD	NA	NA	PANEL_APP	Multiple endocrine tumours;Multiple endocrine neoplasia type 1;Endocrine neoplasia	NA	TRUE	FALSE	3	0	7	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	neurotrophic receptor tyrosine kinase 1
NTRK3	4916	ENSG00000140538	NA	NA	NA	OTHER		NA	TRUE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	neurotrophic receptor tyrosine kinase 3
NYNRIN	57523	ENSG00000205978	NA	NA	NA	OTHER		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	NYN domain and retroviral integrase containing
OGG1	4968	ENSG00000114026	NA	NA	NA	NCGC		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	8-oxoguanine DNA glycosylase
PALB2	79728	ENSG00000083093	AD/AR	C1835817&C0346153	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Breast, Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Familial breast and or ovarian cancer; Haemonc;Haematological malignancies pertinent cancer susceptibility, Familial ovarian cancer;R207, R367, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myeloid Hematological Malignancy , Medulloblastoma, Neuroblastoma, Wilms Tumor, Monoallelic Mutations:, Breast Cancer, Pancreas Cancer; Fanconi anaemia (N) (biallelic mutations) ; Wilms tumour, medulloblastoma, AML ,breast"	LoF	FALSE	TRUE	249	2	9	0.82	0.99	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	partner and localizer of BRCA2
PARN	5073	ENSG00000140694	AD/AR	NA	NA	PANEL_APP	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	NA	FALSE	FALSE	1	1	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	poly(A)-specific ribonuclease
PAX3	5077	ENSG00000135903	NA	NA	NA	PANEL_APP	"Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Sarcoma;Sarcoma pertinent cancer susceptibility,"	NA	TRUE	FALSE	4	6	3	NA	0.4	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	paired box 3
PAX5	5079	ENSG00000196092	AD	NA	C3809874	NCGC&PANEL_APP&TCGA_PANCAN_2018	"B ALL; NA; Childhood;Childhood solid tumours pertinent cancer susceptibility, Haemonc;Haematological malignancies pertinent cancer susceptibility,"	NA	FALSE	TRUE	0	0	1	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	paired box 5
PAX6	5080	ENSG00000007372	AD	NA	NA	PANEL_APP	Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359	NA	FALSE	TRUE	14	4	0	NA	0.78	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	paired box 6
PAX7	5081	ENSG00000009709	NA	NA	NA	PANEL_APP	"Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, Sarcoma;Sarcoma pertinent cancer susceptibility,"	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	paired box 7
PBRM1	55193	ENSG00000163939	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	polybromo 1
PDGFRA	5156	ENSG00000134853	AD	NA	C0238198	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Childhood;Childhood solid tumours pertinent cancer susceptibility, R363, Sarcoma;Sarcoma pertinent cancer susceptibility; Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Gastro-Intestinal Stromal Tumor; NA; GIST"	GoF	TRUE	FALSE	0	0	14	1	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	platelet derived growth factor receptor alpha
PDGFRB	5159	ENSG00000113721	AD	NA	NA	PANEL_APP	"R230, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	NA	FALSE	FALSE	0	1	4	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	platelet derived growth factor receptor beta
PHF6	84295	ENSG00000156531	NA	NA	NA	OTHER		NA	FALSE	TRUE	2	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	PHD finger protein 6
PHOX2B	8929	ENSG00000109132	AD/AR	NA	C2751682	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; neuroblastoma; Neuroblastoma; NA"	LoF	FALSE	FALSE	0	2	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	paired like homeobox 2B
PIK3CA	5290	ENSG00000121879	AD	NA	NA	NCGC&PANEL_APP	"R230, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	GoF	TRUE	FALSE	0	10	0	0	0	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
PINK1	65018	ENSG00000158828	NA	NA	NA	NCGC		NA	FALSE	FALSE	1	1	5	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	PTEN induced kinase 1
PML	5371	ENSG00000140464	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	PML nuclear body scaffold
PMS1	5378	ENSG00000064933	AR	NA	CN029768	CGC_94&NCGC&TCGA_PANCAN_2018	"colorectal, endometrial, ovarian; Hereditary Non-Polyposis Colorectal Cancer; NA"	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"PMS1 homolog 1, mismatch repair system component"
PMS2	5395	ENSG00000122512	AD/AR	C1333990&C0009405&C0265325&C4552100	NA	ACMG_SF30&CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Brain Tumors, Hematological Malignancy, Supratentorial Primitive Neuroectodermal Tumors, Monoallelic Mutations:, Colorectal Cancer, Endometrial Cancer, Ovarian Cancer; MMR deficiency syndrome (biallelic mutations)Lynch syndrome / Hereditary Non-Polyposis Colon Cancer (monoallelic mutations) ; Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Bladder, Adult Glioma, Childhood;Childhood solid tumours pertinent cancer susceptibility, Colorectal, Endometrial Carcinoma, Familial tumour syndromes of the central & peripheral nervous system;Familial tumour syndromes of the central and peripheral nervous system, Familial breast and or ovarian cancer, Familial rhabdomyosarcoma or sarcoma;Familial rhabdoid tumours, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), Haemonc;Haematological malignancies pertinent cancer susceptibility; R210, Familial ovarian cancer;R207, R367, R211;R209, R224, R230, Ovarian, Prostate, Renal, Sarcoma;Sarcoma pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359, Hepatopancreatobiliary;Upper Gastrointestinal; colorectal, endometrial, ovarian, medulloblastoma, glioma"	LoF	FALSE	FALSE	158	14	18	0.56	0.92	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"PMS1 homolog 2, mismatch repair system component"
POLA1	5422	ENSG00000101868	NA	NA	NA	PANEL_APP		NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"DNA polymerase alpha 1, catalytic subunit"
POLD1	5424	ENSG00000062822	AD	CN237711	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Colorectal, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R211;R209; Colorectal Cancer, Endometrial Cancer; PPAP (polymerase proofreading associated polyposis); CRC"	LoF	FALSE	FALSE	0	2	13	0.87	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"DNA polymerase delta 1, catalytic subunit"
POLE	5426	ENSG00000177084	AD/AR	CN237711	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Young adult onset cancer;Exceptionally young adult onset cancer;Multiple Tumours;Rare tumour predisposition syndromes, Colorectal, GI tract tumours;Familial colon cancer;Multiple bowel polyps;Peutz-Jeghers syndrome;GI tract;Inherited colorectal cancer (with or without polyposis), R211;R209; colorectal cancer susceptibility; Colorectal Cancer; PPAP (polymerase proofreading associated polyposis)"	LoF	FALSE	FALSE	0	1	22	0.96	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"DNA polymerase epsilon, catalytic subunit"
POLH	5429	ENSG00000170734	AR	C1848410	NA	PANEL_APP&TCGA_PANCAN_2018	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Squamous Cell Cancer (Skin); Xeroderma pigmentosa V"	LoF	FALSE	FALSE	1	0	7	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	DNA polymerase eta
POLQ	10721	ENSG00000051341	NA	NA	NA	CGC_94	breast cancer	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	DNA polymerase theta
PORCN	64840	ENSG00000102312	NA	NA	NA	PANEL_APP	R230	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	porcupine O-acyltransferase
POT1	25913	ENSG00000128513	AD	NA	C4014476	NCGC&PANEL_APP&TCGA_PANCAN_2018	Melanoma; NA; R254	NA	FALSE	FALSE	0	0	6	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	protection of telomeres 1
PPM1D	8493	ENSG00000170836	NA	NA	NA	NCGC&PANEL_APP	"Familial breast and or ovarian cancer, Familial ovarian cancer;R207"	LoF	TRUE	FALSE	4	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	"protein phosphatase, Mg2+/Mn2+ dependent 1D"
PPP1CB	5500	ENSG00000213639	AD	NA	NA	PANEL_APP	"Carcinoma of unknown primary;Other;Adult solid tumours pertinent cancer susceptibility, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359"	NA	FALSE	FALSE	0	2	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	protein phosphatase 1 catalytic subunit beta
PRDM1	639	ENSG00000057657	NA	NA	NA	OTHER		NA	FALSE	TRUE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	PR/SET domain 1
PRDM9	56979	ENSG00000164256	AD	NA	NA	TCGA_PANCAN_2018	Childhood Leukemia (B ALL)	NA	FALSE	FALSE	0	0	0	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	PR/SET domain 9
PRF1	5551	ENSG00000180644	AR	NA	C1863727	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Haemonc;Haematological malignancies pertinent cancer susceptibility, ; various leukaemia, lymphoma; Various Leukaemia, Lymphoma; NA"	LoF	FALSE	FALSE	2	6	3	NA	NA	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	perforin 1
PRKAR1A	5573	ENSG00000108946	AD/AR	C0406810	NA	CGC_94&NCGC&PANEL_APP&TCGA_PANCAN_2018	"Childhood;Childhood solid tumours pertinent cancer susceptibility; Neuro-endocrine Tumours- PCC and PGL, Multiple endocrine tumours;Multiple endocrine neoplasia type 1;Endocrine neoplasia, R230, Parathyroid cancer, Endocrine, Paediatric congenital malformation-dysmorphism-tumour syndrome;Paediatric congenital malformation-dysmorphism-tumour syndromes;Paediatric congenital malformation-dysmorphism-tumour sydromes;R359; Myxoma (Cardiac/Cutaneous/Breast), Thyroid Cancer, Sex Cord-Stromal Tumor; Carney complex ; myxoma, endocrine, papillary thyroid"	LoF	FALSE	TRUE	9	1	0	NA	0.9	4	0	https://cpsr.readthedocs.io/en/latest/superpanel.html	3.0	CPSR superpanel of cancer predisposition genes	protein kinase cAMP-dependent type I regulatory subunit alpha
